
> cotizador-e3@0.1.0 dev
> next dev

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.25.192.1:3000
- Environments: .env
✓ Ready in 327ms

 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 1662ms (next.js: 809ms, proxy.ts: 90ms, application-code: 762ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 1650ms (next.js: 809ms, proxy.ts: 75ms, application-code: 766ms)
 GET /sw.js 404 in 86ms (next.js: 38ms, proxy.ts: 5ms, application-code: 43ms)
 POST /api/auth/login 200 in 181ms (next.js: 81ms, proxy.ts: 4ms, application-code: 96ms)
 GET /api/export/excel/cmq79547x00016wu65yh7vuv8 200 in 906ms (next.js: 772ms, proxy.ts: 3ms, application-code: 131ms)
 GET /api/export/pdf/cmq79547x00016wu65yh7vuv8 200 in 907ms (next.js: 699ms, proxy.ts: 3ms, application-code: 205ms)
 GET /sw.js 404 in 44ms (next.js: 6ms, proxy.ts: 4ms, application-code: 33ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 284ms (next.js: 75ms, proxy.ts: 34ms, application-code: 175ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 263ms (next.js: 155ms, proxy.ts: 5ms, application-code: 103ms)
 POST /api/auth/login 200 in 115ms (next.js: 34ms, proxy.ts: 3ms, application-code: 78ms)
 GET /api/export/excel/cmq79547x00016wu65yh7vuv8 200 in 172ms (next.js: 77ms, proxy.ts: 3ms, application-code: 92ms)
 GET /sw.js 404 in 58ms (next.js: 12ms, proxy.ts: 3ms, application-code: 43ms)
✓ Compiled in 59ms
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 388ms (next.js: 46ms, proxy.ts: 21ms, application-code: 321ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 387ms (next.js: 90ms, proxy.ts: 20ms, application-code: 278ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 642ms (next.js: 120ms, proxy.ts: 18ms, application-code: 504ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 387ms (next.js: 180ms, proxy.ts: 18ms, application-code: 189ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 387ms (next.js: 201ms, proxy.ts: 18ms, application-code: 169ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 466ms (next.js: 10ms, proxy.ts: 9ms, application-code: 447ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 398ms (next.js: 69ms, proxy.ts: 20ms, application-code: 309ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 397ms (next.js: 113ms, proxy.ts: 19ms, application-code: 265ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 398ms (next.js: 139ms, proxy.ts: 19ms, application-code: 240ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 398ms (next.js: 159ms, proxy.ts: 18ms, application-code: 221ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 659ms (next.js: 68ms, proxy.ts: 19ms, application-code: 571ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 493ms (next.js: 34ms, proxy.ts: 7ms, application-code: 452ms)
